model_name,baseline_f1_macro,with_features_f1_macro,delta
XGBoost,0.9556794113112624,0.9551880916628399,-0.000491319648422528
LightGBM,0.9505881016570604,0.9524619967233751,0.0018738950663146348
CatBoost,0.9503613499385656,0.9510628322754467,0.0007014823368811651
LogisticRegression,0.8973029877404539,0.8987774933299899,0.0014745055895359904
