iter	MultiClass
0	0.5647214763
1	0.3912102084
2	0.3012494137
3	0.2472961866
4	0.2131962325
5	0.1900228951
6	0.1744854741
7	0.1622132176
8	0.1539875991
9	0.1474808742
10	0.1430449726
11	0.1397759286
12	0.1367054088
13	0.1341875422
14	0.1322144832
15	0.1301849932
16	0.1285902776
17	0.126937166
18	0.1256800087
19	0.1246668638
20	0.1234961531
21	0.1228126067
22	0.121086173
23	0.1205888038
24	0.1196069154
25	0.1188833383
26	0.1182417473
27	0.1166418733
28	0.1158893967
29	0.1154555866
30	0.11500792
31	0.1143182584
32	0.1140196493
33	0.1135484521
34	0.1132663564
35	0.1128001593
36	0.1122226878
37	0.1111241298
38	0.1107130157
39	0.1102474589
40	0.1099122242
41	0.1095042783
42	0.1092772769
43	0.1090210118
44	0.1085292694
45	0.1083000269
46	0.107706185
47	0.1074059985
48	0.1070754465
49	0.106880337
50	0.1064654007
51	0.1062973061
52	0.1056074099
53	0.105228419
54	0.1051030065
55	0.1049091427
56	0.1047419204
57	0.1044983843
58	0.1042804107
59	0.104022214
60	0.1038502314
61	0.1035937039
62	0.1034134777
63	0.1032995743
64	0.10315467
65	0.1029612404
66	0.1026468332
67	0.1025510983
68	0.1024086865
69	0.1022503925
70	0.1021846913
71	0.1021041059
72	0.101865486
73	0.1015223622
74	0.1014249737
75	0.101369304
76	0.1012764413
77	0.1012244325
78	0.1011381869
79	0.1010930201
80	0.1009003348
81	0.1008374339
82	0.100771733
83	0.1007081574
84	0.1006103788
85	0.1005097722
86	0.1001561662
87	0.10005386
88	0.09995740403
89	0.09970638702
90	0.0996043294
91	0.09943093532
92	0.09935668591
93	0.09929322773
94	0.0991972643
95	0.09903218949
96	0.09897466008
97	0.09885237169
98	0.09882454676
99	0.09877562176
100	0.09863057369
101	0.09854582778
102	0.09843518085
103	0.09829171685
104	0.0982456384
105	0.09815209146
106	0.09809260115
107	0.0979757328
108	0.09791447404
109	0.09783464052
110	0.09773878355
111	0.09761543679
112	0.09746325581
113	0.09739596348
114	0.09714946216
115	0.09710346916
116	0.09705388158
117	0.09697393399
118	0.09682201739
119	0.0967361587
120	0.09668308513
121	0.09651935662
122	0.09649030878
123	0.09628925989
124	0.09616753922
125	0.09613374048
126	0.0960799118
127	0.09603757624
128	0.09597110023
129	0.09573343101
130	0.09570275443
131	0.09564227456
132	0.09560703448
133	0.09556863447
134	0.09543717067
135	0.09539008232
136	0.09535309288
137	0.09533210403
138	0.0952509611
139	0.09517565742
140	0.09513385887
141	0.09509058604
142	0.0950235693
143	0.09496179223
144	0.09479444704
145	0.09476021167
146	0.09468316732
147	0.09450003835
148	0.09434449249
149	0.09431077519
150	0.0942489767
151	0.09419412646
152	0.0941321491
153	0.09399307846
154	0.0938991979
155	0.09382649597
156	0.09379457643
157	0.09371675922
158	0.09364724901
159	0.09360926612
160	0.09356050389
161	0.09354058548
162	0.09349057463
163	0.09346059972
164	0.09338524027
165	0.09332129809
166	0.09325945578
167	0.09320803537
168	0.09315510049
169	0.09310886027
170	0.09309259885
171	0.09296250027
172	0.09290651157
173	0.09285499088
174	0.09281498088
175	0.09278960845
176	0.09275131035
177	0.09272970119
178	0.09269382827
179	0.09266327162
180	0.09263163613
181	0.09258710664
182	0.09255497647
183	0.09252256625
184	0.09250277401
185	0.09242207522
186	0.09238639497
187	0.09235771614
188	0.09227579789
189	0.09222479222
190	0.0921690334
191	0.09212287962
192	0.09208109752
193	0.09204208652
194	0.09199361327
195	0.09193701294
196	0.09186814673
197	0.09180804631
198	0.09178122538
199	0.09174673245
